link,title,rating,price
A1E72F9kasL._AC_UY218_.jpg,Neil Gaiman's Chivalry,4.8,7511.0
71lWX68jdKL._AC_UY218_.jpg,Edmund White’s A Boy’s Own Story: The Graphic Novel,4.5,10662.0
81IpKyby3OL._AC_UY218_.jpg,Brave New World: A Graphic Novel,4.5,8383.0
81qJL+W2xFL._AC_UY218_.jpg,Batman & Robin 1: Batman Reborn,4.6,9693.0
71T2tqpa0aL._AC_UY218_.jpg,MARVEL STUDIOS' HAWKEYE: THE ART OF THE SERIES, ,29093.0
911z0fV3qyL._AC_UY218_.jpg,Fables Compendium 4,4.8,16200.0
81rsF9j5LBL._AC_UY218_.jpg,Dune: House Atreides Vol. 3,4.7,6686.0
51oQJKz3xrL._AC_UY218_.jpg,Tintin in the Land of the Soviets (The Adventures of Tintin: Original Classic),4.5,5668.0
915ZDw4M+jL._AC_UY218_.jpg,Star Wars: Crimson Reign (Star Wars: Crimson Reign (2021-2022)),4.5,3874.0
71ekajZZ9fL._AC_UY218_.jpg,Firefly Legacy Deluxe Edition,4.8,0.0
71szujxnlzL._AC_UY218_.jpg,Issunboshi: A Graphic Novel,4.5,10832.0
81YvdmTREsL._AC_UY218_.jpg,"Sleeping Beauties, Vol. 2 (Graphic Novel)",4.4,8238.0
81DDuP9taKL._AC_UY218_.jpg,Dune: The Waters of Kanly,4.2,10662.0
81uF1YjaeeL._AC_UY218_.jpg,The Great Gatsby: The Graphic Novel,4.7,6730.0
81e9AH+OOjL._AC_UY218_.jpg,Dune: House Atreides Vol. 2 (2),4.6,7753.0
91xCWvismPL._AC_UY218_.jpg,MARVEL STUDIOS' DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS: THE ART OF THE MOVIE, ,29093.0
81fCmXm7RtL._AC_UY218_.jpg,The Evil Dead: 40th Anniversary Edition,4.7,7399.0
91buqIb86LL._AC_UY218_.jpg,Thor and Loki: Midgard Family Mayhem,5.0,7249.0
91ALx63HgrL._AC_UY218_.jpg,The Flintstones,4.9,14517.0
91V3KWdtnUL._AC_UY218_.jpg,Richard Stark's Parker: The Martini Edition - Last Call,4.8,27634.0
51HsNmooO5L._AC_UY218_.jpg,Dune: House Atreides Vol. 1,4.7,8383.0
